year,zipcode,med_sale_price
2011,98101.0,410000.0
2011,98102.0,280500.0
2011,98103.0,322000.0
2011,98104.0,297250.0
2011,98105.0,360000.0
2011,98106.0,174450.0
2011,98107.0,334950.0
2011,98108.0,180000.0
2011,98109.0,290000.0
2011,98112.0,482000.0
2011,98115.0,335000.0
2011,98116.0,373975.0
2011,98117.0,376000.0
2011,98118.0,226500.0
2011,98119.0,335000.0
2011,98121.0,389500.0
2011,98122.0,286500.0
2011,98125.0,180500.0
2011,98126.0,263942.5
2011,98133.0,209950.0
2011,98136.0,380000.0
2011,98144.0,219000.0
2011,98177.0,349500.0
2011,98199.0,376312.0
2012,98101.0,394000.0
2012,98102.0,298500.0
2012,98103.0,300000.0
2012,98104.0,248400.0
2012,98105.0,420000.0
2012,98106.0,163000.0
2012,98107.0,315000.0
2012,98108.0,180000.0
2012,98109.0,298760.0
2012,98112.0,398500.0
2012,98115.0,311500.0
2012,98116.0,375000.0
2012,98117.0,416750.0
2012,98118.0,217500.0
2012,98119.0,322500.0
2012,98121.0,387000.0
2012,98122.0,305000.0
2012,98125.0,165000.0
2012,98126.0,250000.0
2012,98133.0,185000.0
2012,98136.0,350000.0
2012,98144.0,242900.0
2012,98177.0,382050.0
2012,98199.0,298500.0
2013,98101.0,430000.0
2013,98102.0,339500.0
2013,98103.0,386686.5
2013,98104.0,350000.0
2013,98105.0,465000.0
2013,98106.0,184250.0
2013,98107.0,329970.0
2013,98108.0,250000.0
2013,98109.0,324500.0
2013,98112.0,518000.0
2013,98115.0,408750.0
2013,98116.0,378000.0
2013,98117.0,425000.0
2013,98118.0,301000.0
2013,98119.0,349475.0
2013,98121.0,385287.0
2013,98122.0,361000.0
2013,98125.0,197374.5
2013,98126.0,280000.0
2013,98133.0,235300.0
2013,98136.0,363925.0
2013,98144.0,265450.0
2013,98177.0,371500.0
2013,98199.0,350000.0
2014,98101.0,450000.0
2014,98102.0,355500.0
2014,98103.0,376000.0
2014,98104.0,390000.0
2014,98105.0,527000.0
2014,98106.0,197000.0
2014,98107.0,392250.0
2014,98108.0,265000.0
2014,98109.0,329500.0
2014,98112.0,491250.0
2014,98115.0,385000.0
2014,98116.0,425625.0
2014,98117.0,514400.0
2014,98118.0,273000.0
2014,98119.0,385000.0
2014,98121.0,405000.0
2014,98122.0,335000.0
2014,98125.0,205500.0
2014,98126.0,337125.0
2014,98133.0,235000.0
2014,98136.0,390000.0
2014,98144.0,347500.0
2014,98177.0,396975.0
2014,98199.0,401000.0
2015,98101.0,470000.0
2015,98102.0,391000.0
2015,98103.0,390000.0
2015,98104.0,463000.0
2015,98105.0,575000.0
2015,98106.0,292000.0
2015,98107.0,389000.0
2015,98108.0,308750.0
2015,98109.0,370000.0
2015,98112.0,526335.0
2015,98115.0,436500.0
2015,98116.0,509000.0
2015,98117.0,537500.0
2015,98118.0,358950.0
2015,98119.0,420000.0
2015,98121.0,419000.0
2015,98122.0,419000.0
2015,98125.0,272500.0
2015,98126.0,369000.0
2015,98133.0,250000.0
2015,98136.0,449950.0
2015,98144.0,372500.0
2015,98177.0,495000.0
2015,98199.0,457500.0
2016,98101.0,541250.0
2016,98102.0,429250.0
2016,98103.0,453500.0
2016,98104.0,495000.0
2016,98105.0,600000.0
2016,98106.0,304500.0
2016,98107.0,435000.0
2016,98108.0,393750.0
2016,98109.0,430000.0
2016,98112.0,652000.0
2016,98115.0,520000.0
2016,98116.0,550000.0
2016,98117.0,649475.0
2016,98118.0,397500.0
2016,98119.0,470000.0
2016,98121.0,525000.0
2016,98122.0,437833.0
2016,98125.0,287950.0
2016,98126.0,422750.0
2016,98133.0,300000.0
2016,98136.0,523500.0
2016,98144.0,360000.0
2016,98177.0,533000.0
2016,98199.0,500000.0
2017,98101.0,602500.0
2017,98102.0,531000.0
2017,98103.0,480000.0
2017,98104.0,550000.0
2017,98105.0,720000.0
2017,98106.0,396800.0
2017,98107.0,554500.0
2017,98108.0,437500.0
2017,98109.0,525000.0
2017,98112.0,700000.0
2017,98115.0,617000.0
2017,98116.0,616750.0
2017,98117.0,689000.0
2017,98118.0,405000.0
2017,98119.0,590000.0
2017,98121.0,603000.0
2017,98122.0,554250.0
2017,98125.0,360000.0
2017,98126.0,492000.0
2017,98133.0,362000.0
2017,98136.0,600000.0
2017,98144.0,500750.0
2017,98177.0,603425.0
2017,98199.0,505000.0
