zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103,Wallingford,1328.4647302904564,1283.0823947836398,1416.5198695909899,1573.2952104327208,1580.130409010077,1740.0,1795.0
98115,Wedgewood,1202.778454047474,1160.5914485696896,1292.9868381010347,1424.9334297017651,1474.75,1700.0,1725.5
98133,North Park,875.0030966767371,823.0113670694864,875.8366314199396,980.0284743202417,1010.6608761329304,1146.110271903323,1379.5
98122,Capitol Hill/Madrona,1192.5,1405.0,1450.0,1729.25,1800.0,1826.0,1937.5
98125,Lake City,765.9306273632225,733.0444092908405,768.8468923142217,854.7753976001234,1014.168531522494,1189.1019947526815,1374.75
98109,Westlake,1337.0,1450.0,1641.0,1715.5,1834.75,1950.25,2100.0
98105,University District,985.426497277677,1067.5453720508167,1211.2534029038113,1357.6987295825772,1508.25,1500.0,1589.5
98118,Rainier Valley,994.9065420560747,975.1401869158879,1138.7616822429907,1260.6542056074766,1387.927570093458,1661.3621495327102,1762.5
98102,Captiol Hill,1448.5233160621763,1495.0,1462.5,1506.25,1740.0,1718.5,1783.75
98107,Ballard,1853.9955346760314,1798.7825015116985,1785.0,1780.0,1731.25,1728.75,1871.5
98117,Ballard,934.0480771026729,984.6630493658828,1045.5252246026262,1166.8148452529933,1306.54943125572,1474.324090849661,1662.5
98121,BellTown,1515.0,1528.75,1688.75,1749.25,1927.5,2036.5,2583.25
98116,West Seattle/Alki,1130.753493862134,1132.3030925401322,1138.3881019830028,1214.9231586402266,1412.9694287063267,1601.0,1835.25
98112,Montlake,1172.914201183432,1071.3184171597634,1115.1201923076924,1227.970599112426,1238.1119267751478,1433.6990199704142,1645.0
98101,Downtown,1817.176761433869,1781.7196538936957,1826.0410383189121,1950.1409147095178,2038.7836835599508,2241.0,2542.5
98126,West Seattle,923.9069527193222,899.5047198688166,927.6086362394096,1080.0952446023502,1235.8634872916098,1385.7247881934954,1601.0
98104,Pioneer Square,1141.8371607515658,1048.0125260960333,1149.3277661795407,1421.2943632567851,1638.329853862213,1840.0,1977.0
