,year,zipcode,med_sale_price
0,2011,98101.0,410000.0
1,2011,98102.0,280500.0
2,2011,98103.0,322000.0
3,2011,98104.0,297250.0
4,2011,98105.0,360000.0
5,2011,98107.0,334950.0
6,2011,98109.0,290000.0
7,2011,98112.0,482000.0
8,2011,98115.0,335000.0
9,2011,98116.0,373975.0
10,2011,98117.0,376000.0
11,2011,98118.0,226500.0
12,2011,98121.0,389500.0
13,2011,98122.0,286500.0
14,2011,98125.0,180500.0
15,2011,98126.0,263942.5
16,2011,98133.0,209950.0
17,2012,98101.0,394000.0
18,2012,98102.0,298500.0
19,2012,98103.0,300000.0
20,2012,98104.0,248400.0
21,2012,98105.0,420000.0
22,2012,98107.0,315000.0
23,2012,98109.0,298760.0
24,2012,98112.0,398500.0
25,2012,98115.0,311500.0
26,2012,98116.0,375000.0
27,2012,98117.0,416750.0
28,2012,98118.0,217500.0
29,2012,98121.0,387000.0
30,2012,98122.0,305000.0
31,2012,98125.0,165000.0
32,2012,98126.0,250000.0
33,2012,98133.0,185000.0
34,2013,98101.0,430000.0
35,2013,98102.0,339500.0
36,2013,98103.0,386686.5
37,2013,98104.0,350000.0
38,2013,98105.0,465000.0
39,2013,98107.0,329970.0
40,2013,98109.0,324500.0
41,2013,98112.0,518000.0
42,2013,98115.0,408750.0
43,2013,98116.0,378000.0
44,2013,98117.0,425000.0
45,2013,98118.0,301000.0
46,2013,98121.0,385287.0
47,2013,98122.0,361000.0
48,2013,98125.0,197374.5
49,2013,98126.0,280000.0
50,2013,98133.0,235300.0
51,2014,98101.0,450000.0
52,2014,98102.0,355500.0
53,2014,98103.0,376000.0
54,2014,98104.0,390000.0
55,2014,98105.0,527000.0
56,2014,98107.0,392250.0
57,2014,98109.0,329500.0
58,2014,98112.0,491250.0
59,2014,98115.0,385000.0
60,2014,98116.0,425625.0
61,2014,98117.0,514400.0
62,2014,98118.0,273000.0
63,2014,98121.0,405000.0
64,2014,98122.0,335000.0
65,2014,98125.0,205500.0
66,2014,98126.0,337125.0
67,2014,98133.0,235000.0
68,2015,98101.0,470000.0
69,2015,98102.0,391000.0
70,2015,98103.0,390000.0
71,2015,98104.0,463000.0
72,2015,98105.0,575000.0
73,2015,98107.0,389000.0
74,2015,98109.0,370000.0
75,2015,98112.0,526335.0
76,2015,98115.0,436500.0
77,2015,98116.0,509000.0
78,2015,98117.0,537500.0
79,2015,98118.0,358950.0
80,2015,98121.0,419000.0
81,2015,98122.0,419000.0
82,2015,98125.0,272500.0
83,2015,98126.0,369000.0
84,2015,98133.0,250000.0
85,2016,98101.0,541250.0
86,2016,98102.0,429250.0
87,2016,98103.0,453500.0
88,2016,98104.0,495000.0
89,2016,98105.0,600000.0
90,2016,98107.0,435000.0
91,2016,98109.0,430000.0
92,2016,98112.0,652000.0
93,2016,98115.0,520000.0
94,2016,98116.0,550000.0
95,2016,98117.0,649475.0
96,2016,98118.0,397500.0
97,2016,98121.0,525000.0
98,2016,98122.0,437833.0
99,2016,98125.0,287950.0
100,2016,98126.0,422750.0
101,2016,98133.0,300000.0
102,2017,98101.0,602500.0
103,2017,98102.0,531000.0
104,2017,98103.0,480000.0
105,2017,98104.0,550000.0
106,2017,98105.0,720000.0
107,2017,98107.0,554500.0
108,2017,98109.0,525000.0
109,2017,98112.0,700000.0
110,2017,98115.0,617000.0
111,2017,98116.0,616750.0
112,2017,98117.0,689000.0
113,2017,98118.0,405000.0
114,2017,98121.0,603000.0
115,2017,98122.0,554250.0
116,2017,98125.0,360000.0
117,2017,98126.0,492000.0
118,2017,98133.0,362000.0
