,RegionName,2011,2012,2013,2014,2015,2016,2017,neighborhood
0,98103,,,,,,1715.0714285714287,1762.9166666666667,Wallingford
1,98115,,,,,1482.75,1688.625,1700.1666666666667,Wedgewood
2,98133,,,,,,,1366.5416666666667,North Park
3,98122,1192.5,1393.9583333333333,1454.7916666666667,1671.75,1802.9583333333333,1821.0,1912.3333333333333,Capitol Hill/Madrona
4,98125,,,,,,,1377.75,Lake City
5,98109,1334.9,1468.9166666666667,1622.1666666666667,1728.1666666666667,1840.2916666666667,1938.9583333333333,2102.875,Westlake
6,98105,,,,,1497.75,1497.4166666666667,1590.4166666666667,University District
7,98118,,,,,,,1743.1,Rainier Valley
8,98102,,1471.5,1466.6666666666667,1534.5416666666667,1735.2916666666667,1717.7916666666667,1814.5,Captiol Hill
9,98107,,,1785.0,1766.7083333333333,1731.4166666666667,1727.7916666666667,1877.0,Ballard
10,98117,,,,,,,1703.5714285714287,Ballard
11,98121,1533.5,1547.25,1668.4583333333333,1749.1666666666667,1919.2083333333333,2036.4583333333333,2511.2083333333335,BellTown
12,98116,,,,,,1601.0,1828.875,West Seattle/Alki
13,98112,,,,,,,1643.6363636363637,Montlake
14,98101,,,,,,2239.3,2533.9583333333335,Downtown
15,98126,,,,,,,1642.2857142857142,West Seattle
16,98104,,,,,,1851.5,1990.6666666666667,Pioneer Square
